1,홍길동,98,98,82,278,92.6666666667,1
2,유관순,84,88,86,258,86,1
3,이순신,81,75,56,212,70.6666666667,1
4,강감찬,73,79,50,202,67.3333333333,1
5,김구,52,66,80,198,66,1
6,김유신,66,51,60,177,59,1
7,홍길자,97,86,81,264,88,1
8,홍길순,64,96,59,219,73,1
9,hkensitt8,56,65,91,212,70.6666666667,1
10,tlansdowne9,61,81,80,222,74,1
11,tbartolia,77,60,53,190,63.3333333333,1
12,pschubbertb,79,70,96,245,81.6666666667,1
13,iharrawayc,84,64,65,213,71,1
14,mkobschd,51,81,88,220,73.3333333333,1
15,kbettlesone,81,52,89,222,74,1
16,cmeffanf,99,77,88,264,88,1
17,rblaydesg,69,73,54,196,65.3333333333,1
18,vkobschh,76,59,77,212,70.6666666667,1
19,ukubyszeki,90,52,77,219,73,1
20,cfidianj,81,90,96,267,89,1
