1,aaa,홍길동,t001,삼성 TV,2000000,2024-10-16 16:01:45
2,aaa,홍길동,g001,LG 냉장고,3000000,2024-10-16 16:01:45
3,aaa,홍길동,h001,하마카돈 스피커,500000,2024-10-16 16:01:45
4,aaa,홍길동,w001,세탁기,1000000,2024-10-16 16:01:46
5,aaa,홍길동,t001,삼성 TV,2000000,2024-10-16 16:01:49
6,aaa,홍길동,g001,LG 냉장고,3000000,2024-10-16 16:01:49
7,aaa,홍길동,w001,세탁기,1000000,2024-10-16 16:01:50
1,aaa,홍길동,t001,삼성TV,2000000,2024-10-16 17:23:38
2,aaa,홍길동,g001,LG냉장고,3000000,2024-10-16 17:23:38
3,aaa,홍길동,w001,세탁기,1000000,2024-10-16 17:23:39
4,aaa,홍길동,g001,LG냉장고,3000000,2024-10-16 17:23:40
5,aaa,홍길동,t001,삼성TV,2000000,2024-10-16 17:23:40
6,aaa,홍길동,w001,세탁기,1000000,2024-10-16 17:23:40
